%s,%s
%s already exist.,%s sudah ada.
%s already exists.,%s sudah ada.
-- Please Select --,- Silahkan Pilih -
Cache storage may contain additional data. Are you sure that you want flush it?,Penyimpanan Cache mungkin berisi data tambahan. Apakah Anda yakin bahwa Anda ingin flush itu?
Can not create invoice. Order was not found.,Tidak dapat membuat faktur. Agar tidak ditemukan.
Can't retrieve request object,Tidak bisa mengambil objek permintaan
Can\'t retrieve entity config: %s,Dapat \ 't mengambil entitas config:%s
Cancel,Membatalkan
Cannot complete this operation from non-admin area.,Tidak dapat menyelesaikan operasi ini dari daerah non-admin.
Card type does not match credit card number.,Jenis kartu tidak cocok nomor kartu kredit.
Code,Kode
Controller file was loaded but class does not exist,File pengendali dimuat tetapi kelas tidak ada
Cookie Domain,Cookie Domain
Cookie Lifetime,Cookie Lifetime
Cookie Path,Cookie Jalan
Cookie Restriction Mode,Cookie Pembatasan Modus
Copyright,Hak cipta
Core,Inti
Countries Options,Negara Pilihan
Country,Negara
Create Store,Buat Toko
Create Store View,Buat Toko View
Create Website,Buat Website
Credit card number does not match credit card type.,Nomor kartu kredit tidak sesuai jenis kartu kredit.
Current Package Name,Saat Nama Paket
Custom Admin Path,Kustom Admin Jalur
Custom Admin URL,URL kustom Admin
Custom Design,Custom Design
Custom Email 1,Kustom Email 1
Custom Email 2,Kustom Email 2
Custom Variables,Variabel kustom
Custom1 Contact Email,Email Custom1 Kontak
Custom1 Contact Name,Nama Custom1 Kontak
Custom2 Contact Email,Email Custom2 Kontak
Custom2 Contact Name,Nama Custom2 Kontak
Customer Support,Dukungan Pelanggan
Dashboard,Dasbor
Date From,Tanggal Dari
Date To,Tanggal Untuk
"Date/time format ""%s"" is not supported.","Tanggal format waktu / ""%s"" tidak didukung."
Debug,Debug
Default,Kegagalan
Default Country,Default Negara
Default Description,Default Deskripsi
Default Keywords,Kata kunci standar
Default No-route URL,Bawaan ada rute-URL
Default Pages,Halaman default
Default Robots,Robot standar
Default Store,Default Toko
Default Store View,Standar Toko View
Default Title,Default Judul
Default Web URL,URL Web standar
Delete,Hapus
Delete Store,Hapus Toko
Delete Store View,Hapus Toko View
Delete Website,Hapus Situs
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Menghapus% 1 $ s tidak akan menghapus informasi yang terkait dengan% 1 $ s (misalnya kategori, produk, dll), tapi% 1 $ s tidak akan dapat dipulihkan. Disarankan agar Anda membuat backup database sebelum menghapus% 1 $ s."
Design,Disain
Design Change,Desain Ganti
Developer,Pembangun
Developer Client Restrictions,Pembatasan Klien pengembang
Disable Email Communications,Nonaktifkan Komunikasi Email
Disable Modules Output,Nonaktifkan Modul output
Display Demo Store Notice,Tampilan Demo Toko Pemberitahuan
Duplicate Of Template Name,Gandakan Of Nama Template
Edit Design Change,Mengedit Desain Ganti
Edit Store,Mengedit Toko
Edit Store View,Mengedit Toko View
Edit Website,Mengedit website
Email - Footer,Email - Footer
Email - Header,Email - header
Email Footer Template,Email Template Footer
Email Header Template,Email header Template
Empty identifier field name,Identifier kosong nama field
Empty main table name,Kosong nama tabel utama
Enable Charts,Aktifkan Charts
Enabled,Diaktifkan
Enabled for Admin,Diaktifkan untuk Admin
Enabled for Frontend,Diaktifkan untuk Frontend
Environment Update Time,Lingkungan Perbarui Waktu
"Error in file: ""%s"" - %s","Kesalahan dalam file: ""%s"" -%s"
European Union Countries,Negara Uni Eropa
Exceptions Log File Name,Pengecualian Log File Name
Favicon Icon,Icon Favicon
File %s does not exist,File%s tidak ada
File %s is not readable,File%s tidak dapat dibaca
File not found,Berkas tidak ditemukan
File system,Sistem file
"File with an extension ""%value%"" is protected and cannot be uploaded","Berkas dengan ekstensi ""nilai%%"" dilindungi dan tidak dapat di-upload"
First Day of Week,Hari Pertama Minggu
Flush Cache Storage,Penyimpanan Cache Siram
Flush Magento Cache,Siram Magento Cache
Footer,Footer
Forgot Password Email Sender,Lupa Kata Sandi Email Sender
Forgot Password Email Template,Lupa Sandi Template Email
General,Umum
General Contact,Hubungi Umum
General Contact Email,General Email Kontak
General Contact Name,Umum Nama Kontak
General Settings,Pengaturan Umum
Get info about current Magento installation,Dapatkan info tentang instalasi Magento saat
Global,Global
HTML Head,HTML Kepala
HTML tags are not allowed,Tag HTML tidak diizinkan
Header,Header
Host,Tuan rumah
How many links to display at once.,Berapa banyak link untuk menampilkan sekaligus.
ID Path for Specified Store,ID Jalur untuk Store Tertentu
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Jika posisi frame tidak mencakup halaman maksimal, akan membuat link posisi saat plus / minus nilai ini."
Incorrect credit card expiration date.,Salah kartu kredit tanggal kedaluwarsa.
"Input type ""%value%"" not found in the input types list.","Input type ""nilai%%"" tidak ditemukan dalam daftar jenis masukan."
Invalid URL '%value%'.,URL tidak valid 'nilai%%'.
Invalid base url type,Dasar valid jenis url
Invalid block type: %s,Jenis blok tidak valid:%s
Invalid block: %s,Blok tidak valid:%s
Invalid connection,Koneksi yang tidak valid
Invalid date,Tanggal tidak valid
Invalid layout update handle,Update menangani tata letak yang tidak valid
"Invalid messages storage ""%s"" for layout messages initialization","Pesan tidak valid penyimpanan ""%s"" untuk pesan tata letak inisialisasi"
Invalid query,Permintaan tidak valid
Invalid transactional email code: %s,Valid kode email transaksional:%s
Invalid website\'s configuration path: %s,Situs \ valid 's jalur konfigurasi:%s
JavaScript Settings,JavaScript Pengaturan
Layout,Tata ruang
Leave empty for access from any location.,Biarkan kosong untuk akses dari lokasi manapun.
List of stores,Daftar toko
Locale,Lokal
Locale Options,Pilihan Lokal
Log Settings,Log Pengaturan
Logging from Mage::log(). File is located in {{base_dir}}/var/log,Logging dari Mage :: log (). File ini terletak di {{}} base_dir / var / log
Logging from Mage::logException(). File is located in {{base_dir}}/var/log,Logging dari Mage :: logException (). File ini terletak di {{}} base_dir / var / log
Login is Case Sensitive,Login Kasus Sensitif
Logo Image,Logo Gambar
Logo Image Alt,Logo Gambar Alt
Logo Image Src,Logo Gambar Src
Magento info,Info Magento
Magento info API,Info Magento API
Mail Sending Settings,Mail Mengirim Pengaturan
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Pastikan bahwa URL dasar berakhir dengan '/' (slash), misalnya http: // yourdomain / Magento /"
Manage Stores,Mengelola Toko
Match expressions in the same order as displayed in the configuration.,Cocokkan ekspresi dalam urutan yang sama seperti yang ditampilkan di konfigurasi.
Media Storage,Media Penyimpanan
Merge CSS Files,Gabung CSS Files
Merge JavaScript Files,Gabung JavaScript Files
Message recipients data must be set.,Data penerima pesan harus diatur.
Miscellaneous HTML,Miscellaneous HTML
Miscellaneous Scripts,Script Miscellaneous
Model collection resource name is not defined.,Model nama sumber daya koleksi tidak didefinisikan.
"Module ""%1$s"" cannot depend on ""%2$s"".","Modul ""% 1 $ s"" tidak dapat bergantung pada ""% 2 $ s""."
"Module ""%1$s"" requires module ""%2$s"".","Modul ""% 1 $ s"" membutuhkan modul ""% 2 $ s""."
Name,Nama
New Design Change,Desain baru Perubahan
New Store,Toko baru
New Store View,New Toko View
New Website,Website Baru
No,Tidak
Offloader header,Offloader sundulan
PHP SOAP extension is required.,Ekstensi SOAP PHP diperlukan.
Package,Paket
Pagination,Pagination
Pagination Frame,Pagination Bingkai
Pagination Frame Skip,Pagination Bingkai Buka
Parent directory does not exist: %s,Direktori induk tidak ada:%s
"Path ""%value%"" is not available and cannot be used.","Path ""nilai%%"" tidak tersedia dan tidak dapat digunakan."
"Path ""%value%"" is protected and cannot be used.","Path ""nilai%%"" dilindungi dan tidak dapat digunakan."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Path ""nilai%%"" mungkin belum mencakup direktori induk traversal (""../"", "".. \\)."""
Please define flag code.,Silakan menentukan kode bendera.
Please enter 6 or more characters. Leading or trailing spaces will be ignored.,Cukup masukkan 6 atau lebih karakter. Memimpin atau spasi akan diabaikan.
Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.,Cukup masukkan 7 atau lebih karakter. Sandi harus berisi karakter baik numerik dan abjad.
Please enter a number 0 or greater in this field.,Masukkan nomor 0 atau lebih besar di bidang ini.
Please enter a number 1 or greater in this field.,Masukkan nomor 1 atau lebih besar di bidang ini.
Please enter a number greater than 0 in this field.,Masukkan nomor lebih besar dari 0 di bidang ini.
Please enter a number lower than 100.,Masukkan nomor lebih rendah dari 100.
Please enter a valid $ amount. For example $100.00.,"Masukkan $ jumlah valid. Misalnya $ 100,00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Masukkan URL Key valid. Misalnya ""Misalnya halaman"", ""contoh-page.html"" atau ""anotherlevel / contoh-halaman""."
Please enter a valid URL. For example http://www.example.com or www.example.com,Cukup masukkan URL yang valid. Misalnya http://www.example.com atau www.example.com
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Cukup masukkan URL yang valid. Protokol diperlukan (http: //, https: // atau ftp: //)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Masukkan XML-identifier yang valid. Misalnya something_1, block5, id-4."
Please enter a valid credit card number.,Masukkan nomor kartu kredit yang valid.
Please enter a valid credit card verification number.,Masukkan nomor verifikasi kartu kredit yang valid.
Please enter a valid date between %s and %s,Masukkan tanggal yang valid antara%s dan%s
Please enter a valid date equal to or greater than %s,Masukkan tanggal yang valid sama dengan atau lebih besar dari%s
Please enter a valid date less than or equal to %s,Masukkan tanggal yang valid kurang dari atau sama dengan%s
Please enter a valid date.,Masukkan tanggal yang valid.
Please enter a valid day (1-%d).,Masukkan hari valid (1-%d).
Please enter a valid email address. For example johndoe@domain.com.,Silakan masukkan alamat email yang valid. Misalnya johndoe@domain.com.
Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.,Masukkan nomor faks yang valid. Misalnya (123) 456-7890 atau 123-456-7890.
Please enter a valid full date,Masukkan tanggal lengkap valid
Please enter a valid month (1-12).,Masukkan bulan valid (1-12).
Please enter a valid number in this field.,Masukkan nomor yang valid di bidang ini.
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,Masukkan nomor telepon yang valid. Misalnya (123) 456-7890 atau 123-456-7890.
Please enter a valid social security number. For example 123-45-6789.,Masukkan nomor jaminan sosial yang valid. Misalnya 123-45-6789.
Please enter a valid year (1900-%d).,Masukkan tahun yang valid (1900-%d).
Please enter a valid zip code.,Masukkan kode pos yang valid.
Please enter a valid zip code. For example 90602 or 90602-1234.,Masukkan kode pos yang valid. Misalnya 90.602 atau 90602-1234.
Please enter issue number or start date for switch/solo card type.,Masukkan nomor masalah atau tanggal mulai untuk jenis kartu switch / solo.
Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.,Silahkan masukan CSS-panjang valid. Misalnya 100px atau 77pt atau 20em atau .5ex atau 50%.
Please make sure your passwords match.,Pastikan password Anda cocok.
Please select State/Province.,Silakan pilih Negara / Propinsi.
Please select a file,Silakan pilih file
Please select an option.,Silakan pilih opsi.
Please select one of the above options.,Silakan pilih salah satu dari pilihan di atas.
Please select one of the options.,Silakan pilih salah satu opsi.
Please set available and/or protected paths list(s) before validation.,Silahkan mengatur daftar jalur yang tersedia dan / atau dilindungi (s) sebelum validasi.
"Please specify either a category or a product, or both.","Silakan tentukan baik kategori atau produk, atau keduanya."
Please use letters only (a-z or A-Z) in this field.,Silakan menggunakan huruf saja (az atau AZ) di bidang ini.
Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.,Silakan gunakan nomor satunya dalam bidang ini. Silakan menghindari spasi atau karakter lain seperti titik atau koma.
Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.,Silakan gunakan hanya huruf (az atau AZ) atau angka (0-9) hanya dalam bidang ini. Tidak ada spasi atau karakter lain yang diizinkan.
Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.,Silakan gunakan hanya huruf (az atau AZ) atau angka (0-9) atau ruang dan # hanya dalam bidang ini.
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Silakan gunakan hanya huruf (az atau AZ), angka (0-9) atau garis bawah (_) di bidang ini, karakter pertama harus berupa huruf."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Silakan gunakan hanya huruf (az), angka (0-9) atau garis bawah (_) di bidang ini, karakter pertama harus berupa huruf."
Please use only visible characters and spaces.,Harap hanya menggunakan karakter terlihat dan ruang.
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.",Silakan menggunakan tanggal ini Format: hh / bb / tttt. Misalnya 17/03/2006 untuk 17 Maret 2006.
"Please wait, loading...","Silakan tunggu, bongkar ..."
Polls,Jajak Pendapat
Port (25),Port (25)
Profiler,Profiler
Recovery Link Expiration Period (days),Periode pemulihan link Kadaluarsa (hari)
Request Path for Specified Store,Permintaan Jalur untuk Store Tertentu
Request path length exceeds allowed %s symbols.,Panjang permintaan jalur melebihi diperbolehkan simbol% ??s.
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","File yang diminta tidak termasuk direktori induk traversal (""../"", "".. \\ notasi)"""
"Requested invalid store ""%s""","Diminta toko tidak valid ""%s"""
Resource is not set.,Sumber daya tidak diatur.
Retrieve info about current Magento installation,Mengambil info tentang instalasi Magento saat
Retrieve store data,Ambil menyimpan data
Retrieve store list,Mengambil daftar toko
Return-Path Email,Return-Path Email
Root Category,Akar Kategori
Sales Representative,Sales Representative
Sales Representative Contact Email,Sales Representative Email Kontak
Sales Representative Contact Name,Sales Representative Nama Kontak
Save,Simpan
Save Store,Kirimkan Toko
Save Store View,Kirimkan Toko View
Save Website,Kirimkan Situs
Search Engines Optimization,Search Engine Optimization
Secure,Aman
Security,Keamanan
Select Date,Pilih Tanggal
Select Media Database,Pilih Media database
Sender Email,Pengirim Email
Sender Name,Pengirim Nama
Services,Layanan
Session Cookie Management,Manajemen Sesi Cookie
Session Lifetime (seconds),Sesi Lifetime (detik)
Session Validation Settings,Sesi Validasi Pengaturan
Set Return-Path,Set Return-Path
Set as Default,Ditetapkan sebagai default
Skin (Images / CSS),Kulit (Images / CSS)
Small Logo Image Src,Kecil Logo Gambar Src
Sort Order,Urutan Sortir
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Ditentukan tanggal / waktu ""% 1 $ s"" tidak cocok Format ""% 2 $ s""."
Start date cannot be greater than end date.,Tanggal mulai tidak dapat lebih besar dari tanggal akhir.
Startup Page,Startup Halaman
Status,Status
Storage Configuration for Media,Penyimpanan Konfigurasi untuk Media
Store,Toko
Store API,Toko API
Store Contact Address,Toko Kontak Alamat
Store Contact Information,Menyimpan Informasi Kontak
Store Contact Telephone,Menyimpan kontak telepon
Store Email Addresses,Alamat toko Email
Store Hours of Operation,Jam Toko Operasi
Store Information,Toko Informasi
Store Name,Toko Nama
Store View,Toko View
Store View Information,Menyimpan View Informasi
Store View Name,Toko View Nama
Store view doesn't exist,Toko lihat tidak ada
Store with the same code,Simpan dengan kode yang sama
System,Sistem
System Log File Name,Sistem Log File Name
Template Path Hints,Petunjuk Jalan Template
Template Settings,Pengaturan Template
Template Variables,Variabel Template
Templates,Template
Text length does not satisfy specified text range.,Panjang teks tidak memenuhi berbagai teks tertentu.
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The%s Anda masukkan tidak valid. Pastikan bahwa itu mengikuti ""http://domain.com/"" format."
The From Date value should be less than or equal to the To Date value.,Dari Tanggal Nilai harus kurang dari atau sama dengan To Date nilai.
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Kode toko mungkin hanya berisi huruf (az), angka (0-9) atau garis bawah (_), karakter pertama harus huruf"
The store does not exist,Toko tidak ada
The store has been deleted.,Toko telah dihapus.
The store has been saved.,Toko telah disimpan.
The store view has been deleted.,Pandangan toko telah dihapus.
The store view has been saved,Pandangan toko telah disimpan
The template Name must not be empty.,Nama Template tidak boleh kosong.
The value is not within the specified range.,Nilai tidak dalam kisaran tertentu.
The website does not exist.,Website tidak ada.
The website has been deleted.,Website telah dihapus.
The website has been saved.,Website telah disimpan.
Themes,Tema
This category and all its child elements,Kategori ini dan semua elemen anaknya
This category and its child categories only,Kategori ini dan kategori anak-satunya
This category and its products only,Kategori ini dan produk-produknya hanya
This category only,Kategori ini hanya
This date is a required value.,Tanggal ini adalah nilai yang diperlukan.
This is a required field.,Ini adalah bidang yang dibutuhkan.
This store cannot be deleted.,Toko ini tidak dapat dihapus.
This store view cannot be deleted.,Lihat toko ini tidak dapat dihapus.
This website cannot be deleted.,Website ini tidak dapat dihapus.
This will be displayed just before body closing tag.,Ini akan ditampilkan sebelum tag penutup tubuh.
This will be included before head closing tag in page HTML.,Ini akan dimasukkan sebelum tag penutup kepala di halaman HTML.
Timezone,Zona Waktu
Title Prefix,Judul Awalan
Title Suffix,Judul Akhiran
Transactional Emails,Email transaksional
Translate Inline,Terjemahkan Inline
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Menerjemahkan, blok dan cache output lainnya harus dinonaktifkan untuk kedua frontend dan admin terjemahan inline."
Translations,Terjemahan
Two and more slashes together are not permitted in request path,Dua dan lebih garis miring bersama-sama tidak diizinkan dalam permintaan jalan
Two and more slashes together are not permitted in url rewrite suffix,Dua dan lebih garis miring bersama-sama tidak diizinkan di url rewrite suffix
Unable to create directory: %s,Tidak dapat membuat direktori:%s
"Unable to delete store view. Please, try again later.","Tidak dapat menghapus tampilan toko. Silakan, coba lagi nanti."
"Unable to delete store. Please, try again later.","Tidak dapat menghapus toko. Silakan, coba lagi nanti."
"Unable to delete website. Please, try again later.","Tidak dapat menghapus situs. Silakan, coba lagi nanti."
"Unable to proceed. Please, try again","Tidak dapat melanjutkan. Silakan, coba lagi"
"Unable to proceed. Please, try again.","Tidak dapat melanjutkan. Silakan, coba lagi."
"Unable to save file ""%s"" at ""%s""","Tidak dapat menyimpan file ""%s"" di ""%s"""
Unable to save file: %s,Tidak dapat menyimpan file:%s
Unknown old style column type definition: {$definition}.,Tua jenis kolom gaya definisi diketahui: {$ definisi}.
"Unknown scope ""%s"".","Diketahui lingkup ""%s""."
Unsecure,Tidak aman
Url Options,Pilihan url
Use Custom Admin Path,Menggunakan Custom Admin Jalan
Use Custom Admin URL,Gunakan URL Kustom Admin
Use HTTP Only,Gunakan HTTP Hanya
Use SID on Frontend,Gunakan SID di Frontend
Use Secure URLs in Admin,Gunakan URL Aman di Admin
Use Secure URLs in Frontend,Gunakan URL Aman di Frontend
Use Web Server Rewrites,Gunakan Web Server Penulisan ulang
VAT Number,Jumlah PPN
Validate HTTP_USER_AGENT,Validasi HTTP_USER_AGENT
Validate HTTP_VIA,Validasi HTTP_VIA
Validate HTTP_X_FORWARDED_FOR,Validasi HTTP_X_FORWARDED_FOR
Validate REMOTE_ADDR,Validasi REMOTE_ADDR
Validation has failed.,Validasi telah gagal.
Values less than 60 are ignored. Note that changes will apply after logout.,Nilai kurang dari 60 diabaikan. Perhatikan bahwa perubahan akan berlaku setelah logout.
Variable Code must be unique.,Kode variabel harus unik.
Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.,Peringatan! Mengaktifkan fitur ini tidak dianjurkan pada lingkungan produksi karena merupakan risiko keamanan potensial.
Web,Jaringan
Website,Situs web
Website Information,Informasi situs
Website Name,Nama situs
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Kode situs web hanya dapat berisi huruf (az), angka (0-9) atau garis bawah (_), karakter pertama harus huruf"
Website with the same code,Website dengan kode yang sama
Weekend Days,Weekend Hari
Welcome Text,Selamat Teks
Wrong file info format,Info file yang salah Format
Wrong number of arguments for %s,Nomor yang salah dari argumen untuk%s
Wrong old style column type definition: {$definition}.,Tua jenis kolom gaya definisi yang salah: {$ definisi}.
Yes,Iya
You will have to log in after you save your custom admin path.,Anda harus login setelah Anda menyimpan path admin kustom Anda.
"Your design change for the specified store intersects with another one, please specify another date range.","Perubahan desain untuk toko tertentu bersinggungan dengan satu sama lain, sebutkan rentang tanggal lain."
"database ""%s""","database ""%s"""
