%s %s cycle.,%s %s cycle.
Refund action is not available.,Tindakan pengembalian dana tidak tersedia.
Repeats %s time(s).,Mengulang waktu%s (s).
Repeats until suspended or canceled.,Mengulangi sampai ditangguhkan atau dibatalkan.
Request Card Security Code,Permintaan Kode Keamanan Kartu
Saved CC,Disimpan CC
Schedule Description,Jadwal Deskripsi
Schedule description must be not empty.,Jadwal deskripsi harus tidak kosong.
Selected payment type is not allowed for billing country.,Memilih jenis pembayaran tidak diperbolehkan untuk negara penagihan.
Send Check to,Kirim Periksa untuk
Send Check to:,Kirim Periksa ke:
Severe 3D Secure Card Validation,3D parah Card Aman Validasi
Severe validation removes chargeback liability on merchant.,Validasi parah menghilangkan kewajiban chargeback di merchant.
Shipping Amount,Pengiriman Jumlah
Short description of the recurring payment. By default equals to the product name.,Deskripsi singkat dari pembayaran berulang. Secara default sama dengan nama produk.
Sort Order,Urutan Sortir
Start Date,Mulai Tanggal
Start date has invalid format.,Tanggal mulai memiliki format yang tidak valid.
Start date is undefined.,Tanggal mulai tidak terdefinisi.
Subscriber Name,Pelanggan Nama
Switch/Solo/Maestro Issue Number,Switch / Solo / Maestro Nomor Issue
Switch/Solo/Maestro Only,Switch / Solo / Maestro Hanya
Switch/Solo/Maestro Start Date,Switch / Tanggal Solo / Maestro Mulai
Tax Amount,Jumlah pajak
Test Mode,Test Mode
The date when billing for the profile begins.,Tanggal ketika penagihan untuk profil dimulai.
The number of billing cycles for payment period.,Jumlah siklus penagihan untuk periode pembayaran.
The number of scheduled payments that can fail before the profile is automatically suspended.,Jumlah pembayaran yang dijadwalkan dapat gagal sebelum profil secara otomatis dihentikan.
The payment review action is unavailable.,Tinjauan pembayaran tindakan tidak tersedia.
The requested Payment Method is not available.,Diminta Metode Pembayaran tidak tersedia.
Title,Judul
Trial Billing Amount,Percobaan Penagihan Jumlah
Trial Billing Frequency,Percobaan Penagihan Frekuensi
Trial Billing Period Unit,Percobaan Periode Penagihan Satuan
Trial Period,Periode Percobaan
Trial billing amount is wrong.,Jumlah tagihan percobaan yang salah.
Trial billing period unit is wrong.,Percobaan Unit periode penagihan yang salah.
Trial period frequency is wrong.,Frekuensi masa percobaan yang salah.
Trial period max cycles is wrong.,Percobaan siklus periode max salah.
Two Weeks,Dua Minggu
Unable to save Billing Agreement:,Tidak dapat menyimpan Perjanjian Penagihan:
Unit for billing during the subscription period.,Unit penagihan selama masa berlangganan.
Unsupported currency code: %s.,Kode mata uang yang tidak didukung:%s.
Void action is not available.,Tindakan Void tidak tersedia.
Week,Minggu
What is this?,Apa ini?
Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.,Apakah akan menangguhkan profil pembayaran jika biaya awal gagal atau menambahkannya ke saldo.
Wrong %s specified.,Salah%s ditentukan.
Wrong or empty billing amount specified.,Jumlah yang salah atau kosong penagihan ditentukan.
Year,Tahun
Zero Subtotal Checkout,Nol Subtotal Checkout
